Camera,Trial,Arena,Date,Day,Origin,Mark,Sex,Fish_ID,Group,Tank,Notes,tot_dist,mean_velocity,high_dur,mid_dur,low_dur,freezing_dur,arena_dur
None,8,5,2/03/2020,Monday,WTB,Yel.Yel,female,a10097,Within Treatment,Tall,Jumped,2102.91,4.77933,127.12,66.88,246.08,0.4,440.08
None,8,6,2/03/2020,Monday,WTB,Pin.Bro,male,a10088,Within Treatment,Tall,,1920.22,4.36414,88.56,99.44,252.08,2.32,440.08
None,9,1,2/03/2020,Monday,WTB,Whi.Bla,male,a10152,Within Treatment,Tall,,1347.47,3.06244,0,0,440.08,0.88,440.08
None,9,2,2/03/2020,Monday,WTB,Pur.Pur,female,a10081,Within Treatment,Tall,,1905.09,4.33054,57.76,77.68,304.64,0.32,440.08
None,9,3,2/03/2020,Monday,WTB,Whi.Pin,female,a10154,Within Treatment,Tall,,1611.77,3.66311,69.68,105.36,265.04,0.72,440.08
None,9,4,2/03/2020,Monday,WTB,Ora.Pin,female,a10063,Within Treatment,Tall,,1524.63,3.46507,305.92,55.2,78.96,0.24,440.08
None,9,5,2/03/2020,Monday,WTB,Pin.Red,male,a10089,Within Treatment,Tall,,1668.31,3.79162,50.16,77.36,312.56,1.44,440.08
None,9,6,2/03/2020,Monday,WTB,Pur.Gre,male,a10074,Within Treatment,Tall,,1722.72,3.91526,86.88,120.88,232.32,0.24,440.08
None,10,1,2/03/2020,Monday,WTB,_.Yel,male,a10096,Within Treatment,Tall,,2020.47,4.59197,339.28,55.68,45.12,0.8,440.08
None,10,2,2/03/2020,Monday,WTB,Red.Bro,male,a10169,Within Treatment,Tall,,2872.03,6.52733,70.64,143.36,226.08,0.08,440.08
None,10,3,2/03/2020,Monday,WTB,Whi.Ora,female,a10160,Within Treatment,Tall,,991.45,2.25329,0,9.12,430.96,2.16,440.08
None,10,4,2/03/2020,Monday,WTB,Red._,male,a10155,Within Treatment,Tall,,1146.64,2.60601,0,2.16,437.92,63.52,440.08
None,10,5,2/03/2020,Monday,WTB,Pur.Red,female,a10076,Within Treatment,Tall,,1141.14,2.59349,97.84,59.04,283.2,128.08,440.08
None,10,6,2/03/2020,Monday,WTB,Blu.Ora,female,a10059,Within Treatment,Tall,,945.861,2.14968,0,0,440.08,110.4,440.08
None,11,1,2/03/2020,Monday,WTB,Gre._,male,a10037,Within Treatment,Tall,,1880.12,4.273,157.84,151.92,130.32,0.24,440.08
None,11,2,2/03/2020,Monday,WTB,Gre.Bro,male,a10044,Within Treatment,Tall,,3202.08,7.27746,248,124.88,67.2,0.08,440.08
None,11,3,2/03/2020,Monday,PA,Whi.Bro,female,a9929,Paternal,Tall,,973.144,2.21169,18.08,45.84,376.16,109.6,440.08
None,11,4,2/03/2020,Monday,PA,Whi.Red,male,a9931,Paternal,Tall,,644.333,1.46439,0,0,440.08,32.8,440.08
None,11,5,2/03/2020,Monday,PA,Blu.Bla,male,a9984,Paternal,Tall,,2414.39,5.48726,106.4,117.28,216.4,0.88,440.08
None,11,6,2/03/2020,Monday,PA,Ora.Pin,female,a9961,Paternal,Tall,,1631.69,3.70838,192.24,94.16,153.68,0.08,440.08
None,12,1,2/03/2020,Monday,PA,Gre.Gre,female,a9874,Paternal,Tall,,2229.71,5.06753,83.52,84,272.56,0.48,440.08
None,12,2,2/03/2020,Monday,PA,Bla.Gre,female,a9922,Paternal,Tall,,2319.61,5.27185,117.84,74.88,247.36,0.16,440.08
None,12,3,2/03/2020,Monday,PA,Pin.Blu,male,a9960,Paternal,Tall,,926.852,2.10648,17.68,34.08,388.32,10.72,440.08
None,12,4,2/03/2020,Monday,PA,Gre.Pin,male,a9880,Paternal,Tall,,2134.49,4.85111,95.68,71.44,272.96,0.24,440.08
None,12,5,2/03/2020,Monday,PA,Bla.Pin,male,a9919,Paternal,Tall,,2709.31,6.15752,149.12,119.2,171.76,0,440.08
None,12,6,2/03/2020,Monday,PA,_.Bro,female,a9917,Paternal,Tall,,2143.41,4.87139,191.6,74.48,174,0.32,440.08
None,13,1,2/03/2020,Monday,PA,Ora.Ora,female,a9962,Paternal,Tall,,2757.02,6.26595,230.24,77.12,132.72,0,440.08
None,13,2,2/03/2020,Monday,PA,Gre.Blu,male,a9881,Paternal,Tall,,12.2474,0.0278349,0,0,440.08,440,440.08
None,13,3,2/03/2020,Monday,PA,Pin.Pur,female,a9957,Paternal,Tall,,1487.64,3.381,56.08,51.44,332.56,0.88,440.08
None,13,4,2/03/2020,Monday,PA,Pin.Yel,male,a9956,Paternal,Tall,,2500.38,5.68268,59.52,89.68,290.88,0.24,440.08
None,13,5,2/03/2020,Monday,PA,Gre.Ora,female,a9876,Paternal,Tall,,2295.99,5.21817,92.32,98.24,249.52,0.56,440.08
None,13,6,2/03/2020,Monday,PA,Bla.Red,female,a9921,Paternal,Tall,,1642.16,3.73218,0,5.84,434.24,0.64,440.08
None,14,1,2/03/2020,Monday,PA,_.Gre,male,a9873,Paternal,Tall,,1853.32,4.21209,80.88,66.96,292.24,0.56,440.08
None,14,2,2/03/2020,Monday,PA,Bla.Ora,female,a9887,Paternal,Tall,,1379.04,3.13419,22.48,85.92,331.68,0.96,440.08
None,14,3,2/03/2020,Monday,PA,Pin.Red,female,a9958,Paternal,Tall,,1975.97,4.49085,91.28,102,246.8,0.64,440.08
None,14,4,2/03/2020,Monday,PA,Whi.Whi,male,a9926,Paternal,Tall,,1418.27,3.22334,40.16,50.4,349.52,74.08,440.08
None,15,1,2/03/2020,Monday,WCA,Red.Pin,female,a9673,Within Control,Tall,,2479.94,5.63623,127.76,88.24,224.08,0.08,440.08
None,15,2,2/03/2020,Monday,WCA,Whi.Yel,female,a9599,Within Control,Tall,,2538.11,5.76844,170.08,104.48,165.52,0.16,440.08
